ParkName,AnimalName,Total
Fort Tryon Park,Cardinals,1
Fort Tryon Park,Dogs,1
Fort Tryon Park,Humans,1
Fort Tryon Park,Pigeons,1
J Hood Wright Park,Dogs,1
J Hood Wright Park,Hawks,1
J Hood Wright Park,Humans,1
J Hood Wright Park,Pigeons,1
J Hood Wright Park,Rat,1
Highbridge Park,Dogs,2
Highbridge Park,Downy Woodpecker,1
Highbridge Park,Humans,1
Highbridge Park,Pigeons,1
Highbridge Park,Robins,1
Highbridge Park,Song Birds,1
St Nicholas Park,Cat,1
St Nicholas Park,Dogs,1
St Nicholas Park,Humans,1
St Nicholas Park,Pigeons,1
Riverside Park,Dogs,1
Riverside Park,Humans,1
Marcus Garvey Park,Dogs,1
Marcus Garvey Park,Hawks,1
Marcus Garvey Park,Humans,1
Marcus Garvey Park,Pigeons,1
Madison Square Park,Dogs,1
Madison Square Park,Humans,1
Madison Square Park,Pigeons,1
Union Square Park,Dogs,1
Union Square Park,Humans,1
Union Square Park,ND,1
Union Square Park,Pigeons,1
Stuyvesant Square Park,Dogs,1
Stuyvesant Square Park,Humans,2
Stuyvesant Square Park,Sparrows,1
Washington Square Park,Dogs,1
Washington Square Park,Humans,1
Washington Square Park,Pigeons,1
Tompkins Square Park,Cardinals,1
Tompkins Square Park,Dogs,1
Tompkins Square Park,Humans,1
Tompkins Square Park,ND,1
Tompkins Square Park,Pigeons,1
John V Lindsay East River Park,Dogs,1
John V Lindsay East River Park,Hawks,1
John V Lindsay East River Park,Humans,2
John V Lindsay East River Park,Pigeons,1
John V Lindsay East River Park,Rat,1
Sara D Roosevelt Park,Dogs,3
Sara D Roosevelt Park,Downy Woodpecker,1
Sara D Roosevelt Park,Humans,2
Sara D Roosevelt Park,Pigeons,1
Sara D Roosevelt Park,Robins,1
Sara D Roosevelt Park,Song Birds,1
Seward Park,Dogs,1
Seward Park,Humans,1
Seward Park,Pigeons,1
Seward Park,Sparrows,1
Corlears Hook Park,Dogs,2
Corlears Hook Park,Humans,1
Corlears Hook Park,Pigeons,1
Columbus Park,Dogs,1
Columbus Park,Humans,1
Columbus Park,Pigeons,1
Thomas Paine Park,Dogs,1
Thomas Paine Park,Humans,1
Thomas Paine Park,Pigeons,1
Teardrop Park,Dogs,1
Teardrop Park,Fish in Pond,1
Teardrop Park,Geese,1
Teardrop Park,Halfeaten Dead Rat,1
Teardrop Park,Humans,1
Teardrop Park,Pigeons,1
City Hall Park,Cat,1
City Hall Park,Dogs,1
City Hall Park,Fish in Pond,1
City Hall Park,Geese,1
City Hall Park,Halfeaten Dead Rat,1
City Hall Park,Humans,1
City Hall Park,Pigeons,1
Battery Park,Dogs,1
Battery Park,Humans,1
Battery Park,Pigeons,1
Msgr McGolrick Park,Dogs,1
Msgr McGolrick Park,Humans,1
Msgr McGolrick Park,Pigeons,1
McCarren Park,Dogs,1
McCarren Park,Humans,1
Cooper Park,Blackbird,1
Cooper Park,Dogs,1
Cooper Park,Doves,1
Cooper Park,Humans,1
Cooper Park,Pigeons,1
Cooper Park,Robins,1
Cooper Park,Starling,1
Sternberg Park,Dogs,1
Sternberg Park,Hawks,1
Sternberg Park,Humans,1
Sternberg Park,Pigeons,1
