Top,TopActivities
1,Foraging
2,Climbing
3,Eating
4,Running
5,ND
6,Chasing
7,Sitting
8,shouting
9,Defending tree
10,Digging
11,up tree
12,Sleeping
13,Burying
14,Climbing fence
15,Digging something
16,Very carefully watching a cat
17,Sitting at attention
18,Cleaning
19,Watching #2
20,Nesting
21,Lounging
22,Rubbing butt on ground
23,Guarding
24,Sitting on branch
25,Nesting/gathering leaves
26,Hanging
27,Resting in tree
28,Ear scratching
29,battery
30,Jumped to building
31,Scratching
32,Sitting in short tree
33,Chillin
34,Hanging out
35,Sticking out of a tree
36,Jumping
37,Posing
38,Grooming
39,Hangin  with #13   #14
40,Vocalization at us
41,Frolicking
42,Self cleaning
43,Snacking in a tree
44,Prancing about
45,Chilling
46,Chattering
47,Balancing on fencing
